"","target_id","source_id","weight"
"237","10.00_86.00","10.00_87.00",0.125005354756002
"238","10.00_86.00","11.00_85.00",0.0623530633883679
"239","10.00_86.00","11.00_86.00",0.124706126776736
"240","10.00_86.00","11.00_87.00",0.0623530633883679
"241","10.00_88.00","9.00_87.00",0.0626415818556301
"242","10.00_88.00","9.00_88.00",0.12528316371126
"243","10.00_88.00","9.00_89.00",0.0626415818556301
"244","10.00_88.00","10.00_87.00",0.125005354756002
"245","10.00_88.00","10.00_88.00",0.250010709512004
"246","10.00_88.00","10.00_89.00",0.125005354756002
"247","10.00_88.00","11.00_87.00",0.0623530633883679
"248","10.00_88.00","11.00_88.00",0.124706126776736
"249","10.00_88.00","11.00_89.00",0.0623530633883679
"250","10.00_90.00","9.00_89.00",0.0626415818556301
"251","10.00_90.00","9.00_90.00",0.12528316371126
"252","10.00_90.00","9.00_91.00",0.0626415818556301
"253","10.00_90.00","10.00_89.00",0.125005354756002
"254","10.00_90.00","10.00_90.00",0.250010709512004
"255","10.00_90.00","10.00_91.00",0.125005354756002
"256","10.00_90.00","11.00_89.00",0.0623530633883679
"257","10.00_90.00","11.00_90.00",0.124706126776736
"258","10.00_90.00","11.00_91.00",0.0623530633883679
"259","10.00_92.00","9.00_91.00",0.0626415818556301
"260","10.00_92.00","9.00_92.00",0.12528316371126
"261","10.00_92.00","9.00_93.00",0.0626415818556301
"262","10.00_92.00","10.00_91.00",0.125005354756002
"263","10.00_92.00","10.00_92.00",0.250010709512004
"264","10.00_92.00","10.00_93.00",0.125005354756002
"265","10.00_92.00","11.00_91.00",0.0623530633883679
"266","10.00_92.00","11.00_92.00",0.124706126776736
"267","10.00_92.00","11.00_93.00",0.0623530633883679
"268","10.00_94.00","9.00_93.00",0.0626415818556301
"269","10.00_94.00","9.00_94.00",0.12528316371126
"270","10.00_94.00","9.00_95.00",0.0626415818556301
"271","10.00_94.00","10.00_93.00",0.125005354756002
"272","10.00_94.00","10.00_94.00",0.250010709512004
"273","10.00_94.00","10.00_95.00",0.125005354756002
"274","10.00_94.00","11.00_93.00",0.0623530633883679
"275","10.00_94.00","11.00_94.00",0.124706126776736
"276","10.00_94.00","11.00_95.00",0.0623530633883679
"277","10.00_96.00","9.00_95.00",0.0626415818556301
"278","10.00_96.00","9.00_96.00",0.12528316371126
"279","10.00_96.00","9.00_97.00",0.0626415818556301
"280","10.00_96.00","10.00_95.00",0.125005354756002
"281","10.00_96.00","10.00_96.00",0.250010709512004
"282","10.00_96.00","10.00_97.00",0.125005354756002
"283","10.00_96.00","11.00_95.00",0.0623530633883679
"284","10.00_96.00","11.00_96.00",0.124706126776736
"285","10.00_96.00","11.00_97.00",0.0623530633883679
"286","10.00_98.00","9.00_97.00",0.0626415818556301
"287","10.00_98.00","9.00_98.00",0.12528316371126
"288","10.00_98.00","9.00_99.00",0.0626415818556301
